timestamp,d_aX,d_aY,d_aZ,d_gX,d_gY,d_gZ
2025-11-10 01:00:18,0.06,-0.01,0.0,0.12,-0.31,-0.08
2025-11-10 01:00:19,0.05,-0.01,0.07,0.27,-0.64,0.05
2025-11-10 01:00:19,0.0,0.0,0.04,0.23,0.12,-0.14
2025-11-10 01:00:20,0.02,-0.02,0.07,0.05,-0.84,0.05
2025-11-10 01:00:20,-0.02,-0.03,0.02,0.11,-0.64,-0.14
2025-11-10 01:00:21,0.0,-0.02,0.09,-0.12,-0.81,-0.11
2025-11-10 01:00:21,0.02,-0.03,-0.0,0.27,-0.6,-0.26
2025-11-10 01:00:22,-0.01,-0.04,0.03,0.23,-0.06,-0.58
2025-11-10 01:00:22,0.0,-0.0,-0.02,-0.02,-0.35,-0.31
2025-11-10 01:00:23,0.01,-0.05,0.06,0.24,0.02,0.03
2025-11-10 01:00:23,0.03,0.01,0.02,0.32,-0.63,-0.09
2025-11-10 01:00:24,0.02,-0.04,-0.05,0.27,-0.53,-0.14
2025-11-10 01:00:24,-0.02,-0.06,-0.03,0.32,-0.02,-0.06
2025-11-10 01:00:25,0.02,-0.03,-0.0,-0.15,-0.46,0.12
2025-11-10 01:00:25,0.01,-0.01,0.03,0.05,-0.69,-0.2
2025-11-10 01:00:26,0.02,-0.05,0.05,-0.5,-0.55,-0.09
2025-11-10 01:00:26,-0.12,0.09,-0.02,-0.47,-1.04,1.11
2025-11-10 01:00:27,-0.0,-0.02,0.03,-0.15,-0.44,-0.23
2025-11-10 01:00:27,0.06,-0.07,-0.01,-0.09,-0.44,-0.38
2025-11-10 01:00:28,-0.02,0.03,-0.03,-0.35,-0.5,0.05
2025-11-10 01:00:28,0.08,-0.03,0.05,0.44,-0.5,-0.21
2025-11-10 01:00:29,0.02,-0.05,-0.06,-0.08,-0.43,-0.08
2025-11-10 01:00:29,0.01,-0.06,0.03,0.08,-0.49,-0.18
2025-11-10 01:00:30,0.05,-0.05,-0.03,0.0,-0.35,-0.61
2025-11-10 01:00:30,-0.02,-0.01,-0.02,0.09,-0.53,-0.35
2025-11-10 01:00:31,0.03,-0.04,0.05,0.02,-0.43,-0.12
2025-11-10 01:00:31,0.02,-0.01,-0.02,0.47,-1.01,0.08
2025-11-10 01:00:32,0.03,-0.01,-0.01,-0.35,-0.24,-0.2
2025-11-10 01:00:32,0.01,0.0,0.07,0.44,-0.63,-0.11
2025-11-10 01:00:33,0.02,-0.01,-0.07,-0.47,-0.27,-0.09
2025-11-10 01:00:33,0.0,-0.02,-0.02,-0.06,-0.73,-0.37
2025-11-10 01:00:34,0.0,-0.0,0.02,-0.02,0.08,-0.12
2025-11-10 01:00:34,0.03,-0.03,0.09,-0.02,-0.58,0.09
2025-11-10 01:00:35,0.04,0.0,-0.03,-0.08,-0.12,-0.06
2025-11-10 01:00:35,0.06,-0.02,0.05,0.5,-0.53,-0.06
2025-11-10 01:00:36,-0.01,-0.02,-0.02,-0.03,-0.17,-0.08
2025-11-10 01:00:36,0.04,-0.02,0.02,-0.12,-0.79,-0.31
2025-11-10 01:00:37,-0.02,-0.09,0.01,0.95,0.05,-0.05
2025-11-10 01:00:37,-0.04,-0.0,-0.02,0.21,-0.5,0.12
2025-11-10 01:00:38,-0.01,-0.04,0.09,-0.34,-0.63,-0.17
2025-11-10 01:00:38,0.0,-0.01,0.0,0.14,-0.73,-0.46
2025-11-10 01:00:39,-0.0,-0.03,0.03,0.06,-0.46,-0.06
2025-11-10 01:00:39,-0.01,-0.01,0.05,0.24,-0.37,-0.15
2025-11-10 01:00:40,0.0,-0.01,0.02,0.53,-0.31,-0.08
2025-11-10 01:00:40,0.02,-0.02,0.08,0.31,-0.37,-0.26
2025-11-10 01:00:41,-0.01,-0.03,-0.01,-0.31,-0.06,0.24
2025-11-10 01:00:41,0.03,-0.04,-0.02,0.27,-0.46,-0.15
2025-11-10 01:00:42,-0.02,-0.05,0.02,0.31,0.09,-0.11
2025-11-10 01:00:42,0.0,0.01,0.01,-0.08,-0.56,-0.14
2025-11-10 01:00:43,0.06,-0.0,0.02,0.24,-0.14,0.21
2025-11-10 01:00:43,-0.01,-0.04,0.06,0.24,-0.34,-0.02
2025-11-10 01:00:44,-0.0,-0.02,-0.02,0.12,-0.12,-0.49
2025-11-10 01:00:44,0.02,-0.01,0.04,0.15,-0.5,0.12
2025-11-10 01:00:45,0.05,-0.03,0.02,0.46,-0.41,0.12
2025-11-10 01:00:45,-0.0,0.0,0.01,0.6,-0.38,-0.2
2025-11-10 01:00:46,0.05,-0.03,-0.03,0.26,-0.52,0.0
2025-11-10 01:00:46,-0.0,0.01,0.06,0.24,-0.06,0.15
2025-11-10 01:00:47,0.02,-0.02,-0.01,0.02,-0.53,0.14
2025-11-10 01:00:47,-0.01,-0.04,0.01,0.05,-0.26,0.34
2025-11-10 01:00:48,0.01,-0.06,0.03,-0.14,-0.31,-0.2
2025-11-10 01:00:48,0.0,-0.02,0.01,0.12,-0.35,-0.38
2025-11-10 01:00:49,0.03,-0.08,0.02,0.52,-0.67,-0.7
2025-11-10 01:00:49,0.0,-0.04,0.0,0.32,-0.23,-0.24
2025-11-10 01:00:50,0.0,-0.01,0.06,0.18,-0.63,0.17
2025-11-10 01:00:50,0.0,-0.04,-0.09,0.49,-0.44,-0.23
2025-11-10 01:00:51,0.01,-0.04,-0.04,-0.23,-0.41,-0.15
2025-11-10 01:00:51,0.03,-0.03,0.06,0.18,-0.46,0.12
2025-11-10 01:00:52,-0.02,-0.05,-0.09,-0.05,-0.61,-0.05
2025-11-10 01:00:52,0.06,-0.03,0.03,-0.2,-0.58,0.14
